date,symbol,direction,signal_time,entry_time,strategy_entry,entry_price,quantity,position_rs,stop_loss,target,rr,strategies_fired,agreeing_count,composite_score,driver_strategy,reason,exit_time,exit_price,exit_reason,result,pnl_rs,pnl_pct,predicted_win_pct,conviction_tier,entry_drift_pct,signal_age_min,overlap_ratio,overlap_tier,profit_locked,exit_fill_status,atr_pct,size_cap_reason,news_signal,news_score,news_conf,news_headline,news_count,news_source,locked,reached_1pct,mfe_src,mfe_bar_pct,pnl_cap,delta,era,pnl_now_2L,pnl_cap_2L,qty_2L
2026-06-15,GROWW,LONG,09:15,,,200.0969387755102,2498,499842.15,199.46479591836737,205.33469387755105,8.29,"ADX-FILTER,DAILY-BIAS,DBL-BTM,FIRST-CANDLE,GAP-CONT,MACD,ORB-15,PDH-PDL,REL-STR,STOCHASTIC,VOL-SPIKE,VPOC",5,6.709,VPOC,VPOC: breakout above VAH=200.10,13:10,205.33,TARGET_HIT,EXACT_WIN,12333.14,2.47,58.2,STANDARD,0.0,0.0,,,False,,,,,,,,,,False,True,bars,3.9246283689028187,4265.769441975518,-8067.370558024481,A <07-15 no lock,4903.945887333133,1677.6424629838043,999
2026-06-15,STARHEALTH,LONG,09:15,,,524.395,953,499748.43,521.6725,535.2849999999999,4.0,"ADX-FILTER,CAMARILLA,FIRST-CANDLE,GAP-CONT,ORB-15,ORB-30,PDH-PDL,SR-BREAK,STOCHASTIC,VPOC",4,3.047,CAMARILLA,CAMARILLA: breakout above H4=524.39,15:15,528.15,TIME_EXIT,WIN,2847.11,0.57,49.6,STANDARD,0.0,0.0,,,False,,,,,,,,,,False,True,bars,1.1737335405562548,4264.9607804176,1417.8507804176002,A <07-15 no lock,1109.9185257570484,1676.759346630751,381
2026-06-16,DIXON,LONG,09:10,09:35,11933.0,12206.0,26,317356.0,11445.15,13777.0,2.06,"ADX-FILTER,ASC-TRI,DAILY-BIAS,DBL-BTM,EMA-CROSS,FIRST-CANDLE,MACD,ORB-15,PDH-PDL,SR-BREAK,STOCHASTIC,SUPERTREND,VPOC",4,3.481,ASC-TRI,Ascending Triangle: breakout above resistance 11802.00,15:15,12206.0,TIME_EXIT,LOSS,-479.89,-0.15,48.5,STANDARD,0.0,0.0,,,False,,,,,,,,,,False,False,bars,0.6881861379649353,-479.89,0.0,A <07-15 no lock,-313.47047232,-313.47047232,16
2026-06-17,CARTRADE,LONG,09:15,09:55,2387.75,2606.0,191,497746.0,2577.12,2721.5,4.0,"ADX-FILTER,CAMARILLA,DAILY-BIAS,FIRST-CANDLE,GAP-CONT,ORB-15,ORB-30,PDH-PDL,REL-STR,SR-BREAK,VPOC",4,4.109,CAMARILLA,CAMARILLA: breakout above H4=2387.75,13:18,2721.5,TARGET_HIT,EXACT_WIN,21317.2,4.28,49.8,STANDARD,0.0,0.0,,,False,,,,,,,,,,False,True,bars,4.5663852647736,4247.68244382339,-17069.517556176612,A <07-15 no lock,8453.816858099999,1661.758459322396,76
2026-06-18,MFSL,LONG,09:25,09:55,1636.234693877551,1657.0,301,498757.0,1655.87,1675.83,16.66,"ADX-FILTER,CAMARILLA,DAILY-BIAS,DBL-BTM,FIRST-CANDLE,ORB-15,ORB-30,PDH-PDL,REL-STR,SR-BREAK,VPOC",4,3.506,VPOC,VPOC: breakout above VAH=1636.23,12:06,1675.83,TARGET_HIT,EXACT_WIN,4936.13,0.99,49.5,STANDARD,0.0,0.0,,,False,,,,,,,,,,False,True,bars,1.327700663850332,4256.4060220152805,-679.7239779847196,A <07-15 no lock,1939.5086192839913,1668.5233310359922,120
2026-06-19,CRAFTSMAN,LONG,09:15,09:55,9546.25,9790.0,51,499290.0,9786.5,9797.0,2.0,"ADX-FILTER,CAMARILLA,CPR,DAILY-BIAS,DBL-BTM,FIRST-CANDLE,ORB-15,ORB-30,PDH-PDL,REL-STR,SR-BREAK,SUPERTREND,VPOC",4,4.006,CPR,"CPR: narrow CPR, breakout above TC=9546.25",09:55,9797.0,TARGET_HIT,LOSS,-371.22,-0.07,48.9,STANDARD,0.0,0.0,,,False,,,,,,,,,,False,False,bars,0.08171603677221655,-371.22,0.0,A <07-15 no lock,-174.2684754,-174.2684754,20
2026-06-23,KIRLOSENG,LONG,09:15,09:50,2494.1900000000005,2557.6,195,498732.0,2505.4,2766.38,4.0,"ADX-FILTER,CAMARILLA,DAILY-BIAS,FIRST-CANDLE,GAP-CONT,PDH-PDL,REL-STR,VOL-SPIKE,VPOC,VWAP-REV",4,11.169,CAMARILLA,CAMARILLA: breakout above H4=2494.19,11:46,2505.4,STOP_HIT,LOSS,-10898.12,-2.19,56.5,STANDARD,0.0,0.0,,,False,,,,,,,,,,False,True,bars,1.7672818267125536,4256.190305442804,15154.310305442805,A <07-15 no lock,-4387.568946939986,1674.1561221771217,78
2026-06-29,CIPLA,LONG,09:15,09:21,1448.55,1455.3,343,499167.9,1450.62,1474.0,4.0,"ADX-FILTER,CAMARILLA,DAILY-BIAS,DBL-BTM",4,12.0,CAMARILLA,CAMARILLA: breakout above H4=1448.55,09:23,1450.62,STOP_HIT,LOSS,-2331.74,-0.47,49.8,STANDARD,0.0,0.0,,,False,,,,,,,,,,False,False,empty_window,,-2331.74,0.0,A <07-15 no lock,-959.6857494784088,-959.6857494784088,137
2026-06-29,AEGISLOG,LONG,09:35,10:01,1132.6571428571428,1169.4,427,499333.8,1160.46,1225.0,6.22,"ADX-FILTER,BOLLINGER,BULL-FLAG,CAMARILLA,CPR,DAILY-BIAS,MACD,PDH-PDL,STOCHASTIC,SUPERTREND,VPOC",10,30.164,VPOC,VPOC: breakout above VAH=1132.66,15:15,1169.55,TIME_EXIT,LOSS,-664.0,-0.13,47.3,STANDARD,0.0,0.0,,,False,,,,,,,,,,False,True,bars,1.5007696254489442,4261.383034776003,4925.383034776003,A <07-15 no lock,-294.2098598695233,1678.2512855894531,171
2026-06-30,KIMS,LONG,09:15,09:20,816.5425,823.8,606,499222.8,817.93,847.29,4.0,"ADX-FILTER,ASC-TRI,CAMARILLA,CPR,DAILY-BIAS",5,15.0,CAMARILLA,CAMARILLA: breakout above H4=816.54,14:47,817.93,STOP_HIT,LOSS,-4282.25,-0.86,49.0,STANDARD,0.0,0.0,,,False,,,,,,,,,,False,True,bars,1.317067249332365,4260.425253194154,8542.675253194153,A <07-15 no lock,-1738.426210108601,1673.0067842788537,242
